2026-05-11 04:42:26 | ERROR    | health_monitor | Process DOWN: intraday_engine (intraday_engine.py)
2026-05-11 04:42:27 | ERROR    | health_monitor | Process DOWN: ai_layer (ai_layer.py)
2026-05-11 04:42:27 | ERROR    | health_monitor | Database check failed: connection to server at "localhost" (::1), port 5432 failed: fe_sendauth: no password supplied

2026-05-11 04:42:28 | ERROR    | health_monitor | FAILED processes: ['orchestrator', 'intraday_engine', 'ai_layer']
2026-05-11 04:43:28 | ERROR    | health_monitor | Process DOWN: orchestrator (master_orchestrator.py)
2026-05-11 04:43:28 | ERROR    | health_monitor | Process DOWN: intraday_engine (intraday_engine.py)
2026-05-11 04:43:28 | ERROR    | health_monitor | Process DOWN: ai_layer (ai_layer.py)
2026-05-11 04:43:28 | ERROR    | health_monitor | Database check failed: connection to server at "localhost" (::1), port 5432 failed: fe_sendauth: no password supplied

2026-05-11 04:43:30 | ERROR    | health_monitor | FAILED processes: ['orchestrator', 'intraday_engine', 'ai_layer']
2026-05-11 04:44:30 | ERROR    | health_monitor | Process DOWN: orchestrator (master_orchestrator.py)
2026-05-11 04:44:30 | ERROR    | health_monitor | Process DOWN: intraday_engine (intraday_engine.py)
2026-05-11 04:44:30 | ERROR    | health_monitor | Process DOWN: ai_layer (ai_layer.py)
2026-05-11 04:44:30 | ERROR    | health_monitor | Database check failed: connection to server at "localhost" (::1), port 5432 failed: fe_sendauth: no password supplied

2026-05-11 04:44:32 | ERROR    | health_monitor | FAILED processes: ['orchestrator', 'intraday_engine', 'ai_layer']
2026-05-11 04:45:32 | ERROR    | health_monitor | Process DOWN: orchestrator (master_orchestrator.py)
2026-05-11 04:45:32 | ERROR    | health_monitor | Process DOWN: intraday_engine (intraday_engine.py)
2026-05-11 04:45:32 | ERROR    | health_monitor | Process DOWN: ai_layer (ai_layer.py)
2026-05-11 04:45:32 | ERROR    | health_monitor | Database check failed: connection to server at "localhost" (::1), port 5432 failed: fe_sendauth: no password supplied

2026-05-11 04:45:34 | ERROR    | health_monitor | FAILED processes: ['orchestrator', 'intraday_engine', 'ai_layer']
2026-05-11 04:46:34 | ERROR    | health_monitor | Process DOWN: orchestrator (master_orchestrator.py)
2026-05-11 04:46:34 | ERROR    | health_monitor | Process DOWN: intraday_engine (intraday_engine.py)
2026-05-11 04:46:34 | ERROR    | health_monitor | Process DOWN: ai_layer (ai_layer.py)
2026-05-11 04:46:34 | ERROR    | health_monitor | Database check failed: connection to server at "localhost" (::1), port 5432 failed: fe_sendauth: no password supplied

